Acc, Kappa
0, -4.4533e-05
4.01816, 3.42086e-06
5.02414, 0.0015003
8.45529, 0.001335
8.60576, 0.000812504
8.49801, 0.000709975
8.1043, 0.00089009
7.52756, 0.00122861
6.95817, 0.00159476
6.41354, 0.00197631
5.86082, 0.00239904
5.13803, 0.0030164
4.4467, 0.00368349
3.80318, 0.00438883
2.75756, 0.00423693
2.17518, 0.00393748
1.70041, 0.00365287
1.24511, 0.00333397
0.885621, 0.0030363
0.553856, 0.00270777
0.305484, 0.0024048
0.702754, 0.00321056
0.512845, 0.00406512
0.411277, 0.00508806
0.463103, 0.00573643
0.46912, 0.00638664
0.470665, 0.00703547
-3.15096, 0.00794701
1.14272, 0.00670945
0.852876, 0.00523988
0.556691, 0.00358131
0.296264, 0.00201853
0.768035, 0.000264049
-0.168792, -0.00155726
-0.757202, -0.00344496
0.507559, -0.0023734
0.565608, -0.00109242
-0.186649, -9.8722e-05
-0.614862, 0.000963593
-0.970596, 0.00199673
0.81444, 0.00291715
0.698351, 0.00202947
0.0480962, -3.28059e-05
-1.21413, -0.00217456
-1.2236, -0.00438806
-1.22956, -0.00688566
-1.21785, -0.00901834
0.514405, -0.00864836
0.505938, -0.00757838
0.492509, -0.00654344
0.47799, -0.00554902
0.466342, -0.00467205
0.323058, -0.00408041
0.326332, -0.00348698
0.328124, -0.00278582
0.328563, -0.00214175
0.32848, -0.0015554
0.0200994, -0.00140654
0.0200525, -0.00136766
0.020003, -0.00133213
0.0199481, -0.0012967
0.0198889, -0.00126138
0.0198321, -0.00122939
0.0197671, -0.00119431
0.161901, -0.00102644
0.161926, -0.00071482
-0.107762, -0.000456128
-0.336982, -0.000173201
-0.109488, 0.000132897
-0.102925, 0.000170531
0.0393103, 0.000164571
0.129982, 0.000159072
0.191094, 0.000153034
0.245102, 0.000147459
-0.0406548, -8.90347e-05
-0.182554, -0.000706057
-0.352939, -0.001386
-0.353968, -0.00207334
-0.354861, -0.00276809
-0.35492, -0.00346945
0.349306, -0.0030473
0.349681, -0.00241714
0.349196, -0.00167841
0.34845, -0.00100328
-0.454019, -0.00033578
-0.0197811, 0.000266566
0.407928, 0.000916027
-0.0576787, 0.000879608
-0.00415125, 0.000248526
0.0198121, -0.000448727
-0.367932, -0.00109634
-0.368805, -0.00175054
-0.369443, -0.00235079
-0.369517, -0.00301658
-0.368305, -0.00368658
0.449504, -0.00305397
0.448867, -0.00224482
0.447855, -0.00151712
0.446885, -0.000725438
-0.966285, -1.50269e-05
-0.468177, 0.000750591
0.0608111, 0.00170587
-0.247633, 0.001775
0.052702, 0.00141487
0.249705, 0.00105177
0.253736, 0.000685206
0.342479, 0.000315057
0.213958, -5.86481e-05
0.212431, -0.000420104
0.103148, -0.000623916
-0.128162, -0.000869997
-0.128259, -0.0010965
-0.128351, -0.00134447
-0.128383, -0.00157252
0.21021, -0.00175132
0.210323, -0.00137731
0.210289, -0.00100489
0.210201, -0.000634214
-0.820307, -0.000266104
-0.831738, 9.6973e-05
-0.683448, 0.000422213
-0.812362, 0.00077519
-0.68404, 0.000638503
-0.0864046, 0.000495348
-0.0864097, 0.000337736
0.608199, 0.000194009
0.352778, 5.57926e-06
0.159408, -0.000184372
0.017119, -0.00037539
0.167138, -0.00049806
0.11304, -0.000232837
0.053103, 5.77921e-05
0.0168017, 0.000347022
-0.0174267, 0.000608726
-0.0412213, 0.000869114
0.119643, 0.00112813
0.175076, 0.00121353
0.323501, 0.00128781
0.425833, 0.00136245
0.488006, 0.00144381
0.541514, 0.00152571
0.162697, 0.00123705
0.109683, 0.000670407
0.107129, 0.000149505
-0.0636778, -0.000429674
-0.332232, -0.00101446
