minAcc, maxAcc, minKappa, maxKappa
0, 8.07422, -4.4533e-05, 0.00448666
3.36302, 14.8453, 3.42086e-06, 0.00330196
2.66924, 13.001, 0.000635706, 0.00380503
0.525395, 8.67486, 0.000724999, 0.00437704
0.400049, 8.60576, 0.000698554, 0.00444237
0.255974, 8.49801, 0.000709975, 0.00442558
0.13859, 8.1043, 0.00089009, 0.00439498
0.0446566, 7.52756, 0.00122861, 0.00446426
0.144337, 6.95817, 0.00159476, 0.00445611
0.17928, 6.41354, 0.00197631, 0.00439201
0.277892, 5.86082, 0.00239904, 0.00440592
0.369723, 5.13803, 0.00242936, 0.00456321
0.327443, 4.4467, 0.00245906, 0.00542729
0.291096, 3.80318, 0.00240326, 0.00630177
0.377451, 2.75756, 0.00243001, 0.00637442
0.33694, 2.17518, 0.00245846, 0.0065199
0.317541, 1.70041, 0.00243121, 0.00659217
0.386401, 1.24511, 0.00243157, 0.00673727
0.366198, 0.885621, 0.00248734, 0.00680957
0.326047, 0.832093, 0.00243237, 0.00695448
0.305484, 0.815203, 0.0024048, 0.00702678
0.419105, 0.702754, 0.00321056, 0.00608427
0.408485, 0.512845, 0.00406512, 0.00514311
0.411277, 0.447945, 0.00508806, 0.00544793
0.463103, 0.467367, 0.00573643, 0.0060976
0.46912, 0.470337, 0.00638664, 0.00674754
-3.76033, 0.470665, 0.00703547, 0.00786961
-3.15096, 1.96677, 0.0048202, 0.00794701
-0.449899, 1.14272, -0.00340864, 0.00670945
-0.371739, 1.03535, -0.0034107, 0.00523988
-0.415134, 1.00169, -0.00322807, 0.00358131
-0.199288, 0.782377, -0.00171391, 0.00201853
-0.606259, 0.768035, -0.00338875, 0.000264049
-0.680273, 0.674798, -0.00320369, -0.000910385
-0.757202, 0.63148, -0.00344496, -0.0011829
0.377751, 0.507559, -0.0023734, -0.00191402
-1.49229, 0.565608, -0.00109242, 0.00324598
-1.79161, -0.186649, -9.8722e-05, 0.00330369
-0.984544, -0.150984, 0.000963593, 0.00307845
-1.21809, 1.26611, -0.00314358, 0.00324752
-0.197087, 0.81444, -0.000418375, 0.00330069
-0.433782, 0.698351, -0.000803087, 0.00202947
-0.605153, 0.0480962, -0.000997106, -3.28059e-05
-1.21819, -1.21413, -0.00317164, -0.00217456
-1.22956, 0.515209, -0.00937448, -0.0017149
-1.22956, 0.51533, -0.0091924, -0.00140979
-1.21785, 0.51533, -0.0091924, -0.00137737
0.0200171, 0.514405, -0.00864836, -0.00134181
0.0199585, 0.505938, -0.00757838, -0.00130313
0.0198945, 0.492509, -0.00654344, -0.00126459
0.0198263, 0.47799, -0.00554902, -0.00122619
0.0197611, 0.466342, -0.00467205, -0.00119113
0.019755, 0.328564, -0.00408041, -0.00100043
0.019749, 0.328563, -0.00348698, -0.000974425
0.0197611, 0.328568, -0.00278582, -0.000896462
0.019749, 0.328563, -0.00214175, -0.000844525
0.0197429, 0.32848, -0.0015554, -0.000818568
0.0197429, 0.161922, -0.00140654, -0.000818568
0.0197611, 0.161924, -0.00136766, -0.000766678
0.019755, 0.161925, -0.00133213, -0.000740745
