a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
124.932, 0, 0, 1.3125, -0.164062, 0, -6.09322, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, -0.125849, 8.07414, 0.0387083, 21.4395, 1.20924e-11, 2.01302e-05, 3.48762, 249.886, 0, 0, 0
125.194, 1.27575, 2.00813, 1.3045, -0.275635, 0, -6.09322, 0, 0, 0.0145661, -0.0054623, 0.00054623, 2.8, 0, 0, 0, 0, -0.118366, 8.81162, 1.71573, 19.4822, 7.83898e-13, 2.3617e-05, 4.72828, 184.26, 0, 0, 0
125.249, 1.44259, 2.16202, 1.20993, -0.262021, 0, -6.09322, 6.8526e-05, 0.00169585, 0.0132684, -0.00513571, 0.000518924, 2.8, 0, 0, 0, 0, -0.117524, 8.68097, 1.91076, 19.4781, 1.94943e-08, 2.25259e-05, 4.63481, 178.409, 0, 0, 0
125.585, 2.33241, 2.76445, 0.937116, -0.22611, 0, -6.09308, 0.00185164, 0.00789266, 0.00793034, -0.00374275, 0.000400386, 2.8, 0, 0, 0, 0, -0.123526, 8.62351, 2.91469, 20.47, 1.35159e-08, 1.99244e-05, 4.68877, 145.083, 0, 0, 0
126.033, 3.2853, 3.17953, 0.617915, -0.177934, 0, -6.09255, 0.00492633, 0.0111407, 0.00425871, -0.00271844, 0.000310507, 2.8, 0, 0, 0, 0, -0.119795, 8.13661, 3.94439, 20.4494, 1.99382e-09, 1.97018e-05, 4.22822, 123.002, 0, 0, 0
126.822, 4.62557, 3.50758, 0.290751, -0.126486, 0, -6.09109, 0.00980917, 0.0130684, -0.585184, 0.218066, -0.021758, 2.8, 0, 0, 0, 0, -0.155801, 7.69472, 5.34805, 20.6784, 5.01609e-09, 3.70576e-05, 3.75571, 97.0458, 0, 0, 0
128.012, 6.20573, 3.66274, 0.0153115, -0.0805986, 0, -6.09403, -0.0603764, -0.312144, -0.314496, 0.148143, -0.0158369, 2.8, 0, 0, 0, 0, -0.154952, 7.41104, 6.96673, 20.6272, 2.42751e-11, 3.20712e-05, 3.13459, 73.4815, 0, 0, 0
129.4, 7.67008, 3.65258, -0.166632, -0.0478928, 0, -6.12088, -0.218359, -0.466554, -0.13525, 0.09787, -0.0114156, 2.8, 0, 0, 0, 0, -0.154032, 7.33216, 8.44879, 20.583, 6.70514e-09, 2.74333e-05, 2.58717, 55.8361, 0, 0, 0
131.83, 9.67213, 3.49008, -0.344614, -0.0126556, 0, -6.22099, -0.503197, -0.536632, 0.0397641, 0.0432601, -0.00639611, 2.8, 0, 0, 0, 0, -0.153323, 6.99613, 10.4687, 20.5198, 4.3696e-08, 2.24972e-05, 1.91488, 36.5718, 0, 0, 0
133.682, 10.8948, 3.30153, -0.410777, 0.00316734, 0, -6.32867, -0.691544, -0.507122, 0.105088, 0.01894, -0.00401903, 2.8, 0, 0, 0, 0, 0.0809298, 6.64461, 11.6998, 20.5052, 5.33828e-08, 2.10704e-05, 1.5444, 27.298, 0, 0, 0
135.747, 12.0435, 3.08033, -0.451959, 0.0152238, 0, -6.46895, -0.863473, -0.446927, 0.146333, 0.00051621, -0.00212286, 2.8, 0, 0, 0, 0, 0.391973, 6.24192, 12.8606, 20.6227, 3.79266e-08, 2.3062e-05, 1.23266, 20.0155, 0, 0, 0
138.276, 13.2219, 2.81281, -0.474872, 0.0250025, 0, -6.65835, -1.02468, -0.359173, 0.170566, -0.014279, -0.000495047, 2.8, 0, 0, 0, 0, 0.536231, 5.76286, 14.0597, 20.7589, 6.39545e-07, 2.72735e-05, 0.951125, 13.8716, 0, 0, 0
141.315, 14.3916, 2.50665, -0.478286, 0.0321206, 0, -6.89938, -1.15857, -0.250799, 0.177153, -0.0248173, 0.000792857, 2.8, 0, 0, 0, 0, 0.565943, 5.22355, 15.2639, 20.9151, 4.44616e-06, 3.26391e-05, 0.710936, 9.0215, 0, 0, 0
144.907, 15.5139, 2.17339, -0.428604, 0.0264051, 0, -7.18952, -1.2497, -0.131716, 0.167348, -0.0308807, 0.00170013, 2.4, 0, 0, 0, 0, 0.479969, 4.66766, 16.4419, 20.7176, 1.20119e-05, 2.37602e-05, 0.584308, 6.46253, 0, 0, 0
148.75, 16.4845, 1.87392, -0.430743, 0.0355159, 0, -7.49482, -1.28568, -0.0216626, 0.146006, -0.0326327, 0.00219113, 2.4, 0, 0, 0, 0, 0.585355, 3.59994, 17.4892, 20.8931, 1.37593e-05, 3.04632e-05, 0.380997, 3.83487, 0, 0, 0
152.808, 17.3116, 1.57606, -0.378593, 0.0289793, 0, -7.80272, -1.27262, 0.072487, 0.118605, -0.0313877, 0.00237105, 2, 0, 0, 0, 0, 0.53151, 2.98589, 18.2646, 20.7739, 1.3855e-05, 2.55279e-05, 0.292445, 2.64642, 0, 0, 0
156.689, 17.9513, 1.3346, -0.529275, 0.0688793, 0, -8.078, -1.22481, 0.141903, 0.0916268, -0.0285258, 0.00233914, 2.6, 0, 0, 0, 0, -0.0827979, 2.87351, 18.8451, 20.3587, 1.4509e-05, 5.52632e-05, 0.203221, 0.664354, 0, 0, 0
160.698, 18.4646, 1.00528, -0.465537, 0.0678988, 0, -8.33968, -1.15026, 0.194342, 0.0652275, -0.0247071, 0.00217939, 2.4, 0, 0, 0, 0, -0.10019, 2.5646, 19.2759, 20.3094, 1.423e-05, 5.26615e-05, 0.153415, 0.456664, 0, 0, 0
165.181, 18.8704, 0.693561, -0.39357, 0.0655649, 0, -8.60372, -1.04703, 0.233069, 0.0387305, -0.0200142, 0.00191176, 2.2, 0, 0, 0, 0, -0.00860614, 2.67071, 19.5894, 20.339, 1.45225e-05, 5.45002e-05, 0.156463, 0.315636, 0, 0, 0
169.745, 19.139, 0.43285, -0.323307, 0.0627913, 0, -8.84112, -0.929543, 0.254302, 0.0158391, -0.0152564, 0.00159413, 2, 0, 0, 0, 0, -0.0458948, 2.78084, 19.7657, 20.3687, 1.41407e-05, 5.63489e-05, 0.17734, 0.237731, 0, 0, 0
