s, d, v, x, y,t
124.834,6.16483,0,909.48,1128.67,2.30245
124.836,6.16485,0.225277,909.482,1128.67,2.36041
124.838,6.16487,0.225277,909.484,1128.67,2.42076
124.842,6.1649,0.218451,909.488,1128.67,2.47271
124.848,6.16495,0.225277,909.494,1128.67,2.52076
124.852,6.16499,0.225277,909.498,1128.67,2.57272
124.858,6.16504,0.225277,909.504,1128.67,2.62075
124.862,6.16507,0.225277,909.508,1128.67,2.67271
124.868,6.16513,0.218451,909.514,1128.67,2.72473
124.874,6.16518,0.225277,909.52,1128.67,2.78087
124.878,6.16521,0.225277,909.524,1128.67,2.83271
124.884,6.16526,0.225277,909.53,1128.67,2.88471
124.889,6.16532,0.211624,909.536,1128.67,2.93675
124.894,6.16535,0.218451,909.54,1128.67,2.98877
124.9,6.1654,0.238931,909.546,1128.67,3.04471
124.906,6.16545,0.211624,909.552,1128.67,3.09681
124.91,6.16549,0.225277,909.556,1128.67,3.14872
124.916,6.16554,0.238931,909.562,1128.67,3.20473
124.922,6.16559,0.225277,909.568,1128.67,3.26072
124.926,6.16563,0.238931,909.572,1128.67,3.31279
124.931,6.16568,0.211624,909.578,1128.67,3.36072
124.938,6.16573,0.443728,909.584,1128.67,3.41674
124.96,6.16592,0.894283,909.606,1128.67,3.47272
124.99,6.16618,1.11956,909.636,1128.67,3.52875
125.028,6.16651,1.57011,909.674,1128.67,3.58474
125.072,6.16689,1.78857,909.718,1128.67,3.64073
125.106,6.16718,2.01384,909.752,1128.67,3.69278
125.162,6.16767,2.23229,909.808,1128.67,3.74477
125.224,6.1682,2.45757,909.87,1128.67,3.79672
125.27,6.1686,2.68285,909.916,1128.67,3.84873
125.344,6.16924,2.90813,909.99,1128.67,3.90072
125.396,6.16969,2.90813,910.042,1128.67,3.95274
125.482,6.17043,3.35186,910.128,1128.67,4.00472
125.573,6.17123,3.57713,910.22,1128.67,4.05672
125.638,6.17178,3.57713,910.284,1128.67,4.10875
125.742,6.17268,4.02086,910.388,1128.67,4.16072
125.813,6.1733,4.01403,910.46,1128.67,4.21281
125.927,6.17429,4.23931,910.574,1128.67,4.26477
126.007,6.17498,4.47142,910.654,1128.67,4.31673
126.133,6.17607,4.68987,910.78,1128.67,4.36472
126.267,6.17722,5.14042,910.914,1128.67,4.42073
126.407,6.17843,5.37253,911.053,1128.67,4.47673
126.503,6.17926,5.37253,911.149,1128.67,4.52472
126.653,6.18056,5.59098,911.299,1128.67,4.58072
126.757,6.18146,5.81625,911.403,1128.67,4.63675
