s, d
124.932,-6.09322
124.937,-6.09318
125.292,-6.09033
126.293,-6.09235
128.902,-6.09331
131.731,-6.09856
135.086,-6.09458
140.747,-6.08959
146.302,-6.09466
150.666,-6.0945
155.644,-6.09486
160.923,-6.08882
167.176,-6.09451
174.461,-6.09829
181.27,-6.08874
188.673,-6.09471
196.26,-6.09449
203.59,-6.09362
210.616,-6.08901
217.295,-6.09182
223.193,-6.08807
229.55,-6.09437
235.941,-6.09475
241.919,-6.09384
247.915,-6.09881
254.343,-6.0903
260.351,-6.08958
266.784,-6.08852
273.225,-6.0969
280.091,-6.09004
286.094,-6.09859
292.092,-6.09288
298.092,-6.09457
304.1,-6.09343
311.377,-6.08969
319.926,-6.09664
328.05,-6.09606
336.596,-6.09259
345.128,-6.09854
353.651,-6.09115
361.315,-6.0894
369.394,-6.0903
377.473,-6.09879
385.546,-6.08832
394.03,-6.08948
402.925,-6.09809
410.978,-6.095
419.019,-6.09124
427.47,-6.09635
435.924,-6.09085
444.372,-6.09255
452.818,-6.09472
460.821,-6.09749
469.232,-6.0898
477.636,-6.08986
486.423,-6.08891
496.436,-6.08795
507.216,-6.09337
518.325,-6.09471
528.485,-6.09161
538.504,-6.08755
548.397,-6.09364
558.183,-6.09511
567.462,-6.09198
576.994,-6.08904
585.641,-6.08978
594.192,-6.09686
602.642,-6.09318
610.997,-6.09712
618.924,-6.08873
627.141,-6.09123
635.293,-6.09348
643.035,-6.094
651.081,-6.08893
659.058,-6.0975
668.032,-6.09325
677.272,-6.09576
686.107,-6.0914
694.89,-6.09177
703.618,-6.09171
712.295,-6.09777
720.924,-6.09089
729.512,-6.09329
738.062,-6.09605
746.248,-6.0944
754.733,-6.0923
762.859,-6.09102
770.969,-6.09541
778.736,-6.08951
786.799,-6.09194
794.814,-6.09799
802.467,-6.09094
810.403,-6.09587
818.31,-6.08919
826.193,-6.08796
834.366,-6.09053
843.775,-6.09114
853.469,-6.0905
863.451,-6.09434
873.422,-6.09385
883.053,-6.09324
892.657,-6.09174
901.925,-6.09294
910.866,-6.097
919.472,-6.09653
928.077,-6.23248
936.414,-6.67882
945.138,-7.3714
953.649,-8.09244
962.548,-8.74974
970.857,-9.202
979.173,-9.5169
988.766,-9.71643
998.971,-9.78351
1008.98,-9.77794
1019.02,-9.78327
1029.51,-9.77931
1039.7,-9.77792
1050.26,-9.78389
1060.71,-9.78206
1071.41,-9.78462
1083.1,-9.78489
1094.07,-9.77732
1104.43,-9.77906
1114.07,-9.78178
1123.46,-9.77739
1132.61,-9.77854
1141.63,-9.78041
1150.65,-9.78084
1159.36,-9.78078
1168.13,-9.7771
1176.96,-9.78054
1185.5,-9.75202
1194.15,-9.52733
1203.67,-9.02541
1213.3,-8.37211
1223.41,-7.66624
1233.6,-7.04914
1243.83,-6.58447
1254.47,-6.24438
1264.71,-6.06006
1274.13,-5.97326
1283.49,-5.97361
1291.97,-5.99863
1299.99,-6.18866
1308.2,-6.59303
1315.49,-7.07881
1322.98,-7.65522
1329.79,-8.18466
1336.2,-8.65698
1342.28,-9.04143
1348.1,-9.33142
1353.76,-9.55164
1359.37,-9.68657
1364.73,-9.76345
1370.46,-9.78897
1376.03,-9.79304
1382.07,-9.79252
1388.64,-9.78613
1394.8,-9.7852
1401.5,-9.78654
1408.43,-9.78492
1415.17,-9.7854
1421.67,-9.72267
1428.57,-9.50242
1435.05,-9.16682
1441.45,-8.72389
1447.43,-8.2632
1453.69,-7.78053
1460.25,-7.30726
1466.42,-6.92914
